1582999200,1,109
1582999260,1,100
1582999320,1,104
1582999380,1,108
1582999440,1,105
1582999500,1,99
1582999560,1,96
1582999620,1,102
1582999680,1,121
1582999740,1,99
1582999800,1,109
1582999860,1,93
1582999920,1,113
1582999980,1,106
1583000040,1,112
1583000100,1,101
1583000160,1,108
1583000220,1,110
1583000280,1,108
1583000340,1,104
1583000400,1,111
1583000460,1,108
1583000520,1,96
1583000580,1,116
1583000640,1,105
1583000700,1,111
1583000760,1,106
1583000820,1,103
1583000880,1,96
1583000940,1,90
1583001000,1,92
1583001060,1,101
1583001120,1,109
1583001180,1,110
1583001240,1,112
1583001300,1,105
1583001360,1,100
1583001420,1,109
1583001480,1,98
1583001540,1,106
1583001600,1,99
1583001660,1,98
1583001720,1,104
1583001780,1,109
1583001840,1,114
1583001900,1,111
1583001960,1,106
1583002020,1,103
1583002080,1,99
1583002140,1,94
1583002200,1,96
